region_id,x,y,w,h,text
1,1305,7,78,25,"ORFS"
2,86,51,259,19,"No preference (Default subnet in any availability zone)"
3,901,64,94,26,"yy Summary"
4,83,80,134,22,"Aute-assign public IP int"
5,900,100,135,20,"Number of instances inf"
6,83,137,553,72,"Firewall (security groups) info secu groupis ase of rewoluesthat contra th raf for yur stance. Ad resto alopecia to ech your insta © create security group | © Select existing security group |"
7,902,181,215,53,"Software Image (AMI) Amazon Linux 2023 AM! 2023.92...read mor ai-074687850C073060"
8,369,184,145,21,"Select existing security group"
9,85,224,390,19,"We'll create a new security group called ‘launch-wlzard-3' with the following rules"
10,82,250,142,28,"‘Allow SSH traffic from"
11,906,255,162,35,"Virtual server type (instance type Siero"
12,355,259,51,23,""
13,102,304,225,27,"Allow HTTPS traffic from the internet"
14,902,312,120,36,"Firewall (security group New security group"
15,102,349,224,28,"Allow HTTP traffic from the internet"
16,907,368,90,36,"torage (volurnes) | volumels) - 8 GiB."
17,1130,434,146,48,""
18,85,440,162,30,"¥ Configure storage i"
19,324,485,220,20,"y Root volume, 300010PS, Not encrypted"
20,182,486,54,22,"GiB gp3"
21,1153,489,99,16,"‘G! Preview code"
22,96,551,98,30,"‘Add new volume"
23,84,608,532,39,"® Click refresh to view backup information The tags that you assign determine whether the instance will be backed up by any Data Lifecycle Manager polici"
24,93,668,65,18,"x File system:"
25,84,739,158,26,"> Advanced details 101"
